Model,Variable,Coef,SE,t,p-value,CI_low,CI_high,Sig
Model 2,RACE_BLACK,0.0946,0.0098,9.64,0.0,0.0754,0.1138,***
Model 2,RACE_HISPANIC,0.0104,0.0102,1.016,0.3099,-0.0096,0.0303,
Model 2,RACE_OTHER,-0.0352,0.0187,-1.877,0.0606,-0.0719,0.0016,.
Model 2,FEMALE,-0.6723,0.0143,-47.126,0.0,-0.7002,-0.6443,***
Model 2,AGE,-0.0097,0.0004,-25.629,0.0,-0.0105,-0.009,***
Model 2,XFOLSOR,0.1213,0.0005,236.629,0.0,0.1203,0.1223,***
Model 2,XCRHISSR,0.2378,0.002,118.525,0.0,0.2339,0.2417,***
Model 2,XMINSOR,-0.0,0.0,-6.989,0.0,-0.0,-0.0,***
Model 2,MAND_MIN,0.6028,0.0399,15.092,0.0,0.5245,0.6811,***
Model 2,GUILTY_PLEA,-0.1188,0.0264,-4.508,0.0,-0.1705,-0.0672,***
Model 2,ACCEPT_RESP,-0.2469,0.0225,-10.972,0.0,-0.291,-0.2028,***
