Model,Variable,Coef,SE,t,p-value,CI_low,CI_high,Sig
Model 1,RACE_BLACK,-0.0233,0.012,-1.944,0.0519,-0.0468,0.0002,.
Model 1,RACE_HISPANIC,-0.1835,0.0122,-15.077,0.0,-0.2074,-0.1597,***
Model 1,RACE_OTHER,-0.4379,0.0232,-18.894,0.0,-0.4834,-0.3925,***
Model 1,FEMALE,-1.0407,0.0168,-61.965,0.0,-1.0736,-1.0078,***
Model 1,AGE,-0.0039,0.0005,-8.505,0.0,-0.0048,-0.003,***
